Adószám,Szervezet neve,Székhely,Új kategória (legalsó szint),Szülő kategória,Cél (első 200 karakter)
18000610,"""Menhely az Állatokért"" Környezetvédelmi és Állatvédelmi Közhasznú Alapítvány","6000 Kecskemét, Kisfái tanya 211/ A.",környezet- és természetvédelem,környezet- és állatvédelem,"Természetvédelem, állatvédelem, környezetvédelem. Az állati hulladék ártalmatlanná tételével kapcsolatos feladatok ellátása, különösen Kecskemét Megyei Jogú Város közterületein fellelhető állati hulla"
18000902,BONYHÁDI EVANGÉLIKUS GIMNÁZIUM ATLÉTIKA SPORTÁGBAN TEHETSÉGES FIATALOKAT SEGÍTŐ ALAPÍTVÁNY,"7150 Bonyhád, Kossuth utca 4.",sportklubok,sport és szabadidő,"A Bonyhádi Petőfi Sándor Evangélikus Gimnáziumban folyó magas szintű, tanórán kívüli sportfoglalkozás területén megjelenő tehetségek gondozása, támogatása és az ehhez szükséges személyi- és dologi fel"
18000940,EGÉSZSÉGDOKK Közhasznú Alapítvány,"2484 Gárdony, Hunyadi János utca 122.",mentális egészség és szenvedélybetegségek,szociális segítségnyújtás,"Hozzájárulni a különböző függőségekben szenvedő vagy veszélyeztetett fiatalok - és általában az ifjúság ? mentálhigiénés állapotának javításához, lelkigondozásához és segítéséhez."
18001013,BL BASKET Sportegyesület,"2051 Biatorbágy, Táncsics Mihály út 5.",sportklubok,sport és szabadidő,"Az egyesület célja elsősorban a sport, mint szabadidős tevékenység népszerűsítése a munkaviszonyban és a polgári jogi viszony keretében megbízás alapján folytatott sporttevékenység kivételével-, a sze"
18001044,Pilis-Budai Kutyamentők Társasága Egyesület,"2086 Tinnye, Ady Endre utca 48.",kutyák,környezet- és állatvédelem,"Felvilágosító-nevelő munka a kulturált konfliktusmentes állattartás elterjesztése érdekében, a közvetlen életveszélyben lévő kutyák mentése és felelős örökbe adása."
18001271,Via Veritatis Alapítvány,"1141 Budapest, Öv utca 39-41.",egyéb kulturális szervezetek,kultúra és művészet,"Az alapítvány fő célkitűzése Magyarország közállapotainak javítása az emberi kapcsolatok jobbá tétele útján. az ember-ember, város-vidék, gazdag-szegény relációk közötti kapcsolatok javítása. A humánu"
18001422,Lőkösházi Románok Egyesülete,"5743 Lőkösháza, Eleki utca 28.",etnikai szervezetek,kultúra és művészet,"A magyarországi románság érdekeinek megfelelő politikai és társadalmi képviselet, a román hagyományok ápolása, megőrzése, a román nyelvű oktatás segítése, valamint az anyaországgal való kapcsolattartá"
18001501,PANDORA ALAPÍTVÁNY KOVÁCS JÁNOS BENDEGÚZ ÉS MÁS AUTISTA GYERMEKEKÉRT,"4634 Aranyosapáti, Hunyadi utca 17.",egyéb gyermek egészségügy,gyermek egészségügy,"Egészségmegőrzés, betegségmegelőzés, gyógyító-egészségügyi rehabilitációs tevékenység, és egyéb az alapító okirat szerint."
18001776,Élet és Irodalom Közhasznú Alapítvány,"1089 Budapest, Magyarok Nagyasszonya tér 10.","sajtó, média",emberi jogok és civil társadalom,"Az Élet és Irodalom című kulturális hetilap folyamatos megjelenésének támogatása, a magyar irodalom hagyományainak ápolása, irodalmi művek létrehozásának elősegítése."
18001903,Külker Evezős Klub Óbuda,"1039 Budapest, Szent János utca 7.",sportklubok,sport és szabadidő,"az amatőr evezős versenyzés, a veterán és túra-evezés anyagi és erkölcsi támogatása, - az evezős élet folytonosságának biztosítása, - a sportegyesület tagjainak a versenyzésre való felkészítése, verse"
18001927,Szent Erzsébet Plébániáért Alapítvány,"1074 Budapest, Rózsák tere 8.",egyházhoz kötődő szociális szervezetek,szociális segítségnyújtás,"Idős, beteg, nagycsaládos rászorulók támogatása, rászoruló fiatalok taníttatásának, üdültetésének segítése és a Szt.Erzsébet templom felújításának elősegítése."
18002014,Nyír utcai Iskola Gyermekeiért Alapítvány,"1237 Budapest, Nyír utca 22.",általános iskolák,oktatás,"A Nyír u. 22.sz. iskola tanulóinak nevelési-oktatási feltételeinek javításához való hozzájárula, valamint az iskola dolgozói élet- és munkakörülményeinek jobbátétele."
18002320,Evangéliumot Minden Otthonba Alapítvány,"1083 Budapest, Baross utca 119/a. IV. em./406.",vallási szervezetek,kultúra és művészet,"Az alapítvány célja, hogy Magyarországon felekezeti különbség nélkül minden otthonba eljuttassa a Jézus Krisztusról szóló örömüzenetet, az embereket bűnbánatra és megtérésre segítse, őket az evangéliu"
18002399,Tartalmas Gyermekkor Alapítvány,"1046 Budapest, Ugró Gyula utca 1-3.",általános iskolák,oktatás,"A tanulók tudásának, tehetségének kibontakoztatása, gondozása, az iskola ezzel kapcsolatos lehetőségeinek fejlesztése."
18002447,Seinchin Karate Sportegyesület Pesterzsébet,"1205 Budapest, Nagykőrösi út 105.",sportklubok,sport és szabadidő,összefogja és szervezi Pesterzsébet és vonzáskörzetében tagjainak a Goju-Ryu Karate stílussal kapcsolatos tevékenységét.
18002454,TILOS Kulturális Alapítvány,"1024 Budapest, Margit körút 9. 1. em.","sajtó, média",emberi jogok és civil társadalom,"Nonprofit - közösségi jellegű médiaformák beindításának támogatása. Alternatív kulturális mozgalmak, kisebbségi csoportok, polgári mozgalmak és polgári jogi aktivisták részére nyilvánosság biztosítása"
18002485,Vörösmarty Alapítvány,"1085 Budapest, Horánszky utca 11.",gimnáziumok,oktatás,A Vörösmarty Mihály Gimnázium oktató-nevelő munkájának korszerűsítéséhez a személyi és tárgyi feltételek előteremtésének biztosítása.
18002605,Agykontroll Alapítvány,"1081 Budapest, Fiumei út 4. fszt./1.",felnőttképzés,oktatás,A szellemi képességek kibontakoztatását szolgáló Silva-módszer magyarországi elterjesztése. Lelki és testi egészség növelése. A szellemi képességek kibontakoztatása. A stressz kezelése. Nevelése és ok
18002739,Alapítvány a 412-es Cserkészekért,"1165 Budapest, Pilóta utca 27.",egyéb szabadidős szervezetek,sport és szabadidő,"A mátyásföldi székhelyű 412. számú Kalazanti Szent József Cserkészcsapat: - felszereléseinek, eszközeinek bővítése,- kirándulásaihoz, táborozásaihoz és egyéb rendezvényeihez szükséges tárgyi feltétele"
18003022,Jog Az Egészséghez Közhasznú Egyesület,"1149 Budapest, Kövér Lajos utca 16-18. 6/1.",egyéb felnőtt egészségügy,felnőtt egészségügy,"Tevékenységével elősegíteni egy olyan Új Egészségkultúra elterjesztését, amely az ember természetes biológiai állapotát figyelembe véve, elsődlegesen az egészség fenntartása és megőrzése érdekében a t"
18003091,Magyar Mária Rend Alapítvány,"8787 Zalaszentlászló, Hunyadi János utca 64.",egyházhoz kötődő szociális szervezetek,szociális segítségnyújtás,"az alapítvány a Mária Rend céljainak elérését, működésének, tevékenységének támogatását tűzi ki célul. A rend feladatának tekinti családok, nők, férfiak, gyerekek, idősek és elesettek támogatását és g"
18003118,Tolnai Tájak Íjász Közhasznú Egyesület,"7100 Szekszárd, Bottyán hegyi lakótelep 13. IV/17.",sportklubok,sport és szabadidő,"az íjászat népszerűsítése, az íjászat oktatása, utánpótlás nevelés,haladó sportolók versenyre való felkészítése, kiemelkedő teljesítményű sportolók felkészülésének elősegítése, sportoló versenyeken va"
18003314,Miskolci Tűzoltók Sportegyesülete,"3525 Miskolc, Dózsa György út 15.",sportklubok,sport és szabadidő,"A közösségi szellem építése, egészségünk megőrzése, környezetünk védelme, és az európai kultúrának megfelelő életmód és viselkedés gyakorolása és népszerűsítése. Bármi nemű sporttevékenység hobbi szin"
18003431,Mezőhegyesi Állatvédők Egyesülete,"5820 Mezőhegyes, Hunyadi utca 6.",kutyák,környezet- és állatvédelem,állatvédelem
18003534,Civil Összefogás Közhasznú Alapítvány,"1027 Budapest, Vitéz utca 5-7. I/1.",demokrácia és átláthatóság,emberi jogok és civil társadalom,"Az Alapítvány célja, hogy hatásos eszköz legyen az ország gazdaságának formálásában, úgy, hogy pártpolitikától függetlenül közvetíti az állampolgárok álláspontját a helyi gazdaságpolitikai és kormányz"
18003709,FIRMA '78 Alapítvány,"9423 Ágfalva, Gyógy utca 8/ B.",rászorulók segítése,szociális segítségnyújtás,"Az alapítvány célja az erdészeti szakemberek és családtagjainak szociális biztonságának és szakmai tudásának megőrzése, annak javítása, valamint ezzel összhangban korszerűbb képzési-, pihenési-, üdülé"
18003826,DancEarth Táncsport Egyesület,"2310 Szigetszentmiklós, Lehel utca 22/c",sportklubok,sport és szabadidő,"Tagjai részére a tánc mint sport- és szabadidős tevékenység művelésének elősegítése, ösztönzése, feltételeinek megteremtése."
18003833,"Tábita Egészségügyi, Szociális és Hospice Egyesület","3100 Salgótarján, Bajcsy-Zsilinszky út út 16-18.",beteg emberek lelki és szociális támogatása,szociális segítségnyújtás,"A haldokló betegek szeretetteljes testi, lelki gondozása, hogy életük záró szakaszát lehetőleg fájdalommentesen, szellemi és lelki erejük birtokában, megfelelő környezetben élhessék. Segítségnyújtás é"
18003857,Katonatelepi Óvodásokért Alapítvány,"6000 Kecskemét, Platán utca 1.",óvodák,oktatás,"A társadalom és az egyén közös érdekeinek kielégítésére irányuló közhasznú tevékenység folytatása: elsősorban az óvodai neveléshez szükséges taneszközök, játékok, óvodai berendezési tárgyak bővítése, "
18003950,MARGITVIRÁG EGYESÜLET,"9700 Szombathely, Nárai utca 55/B.",óvodák,oktatás,"- Természeti, társadalmi és emberi értékek elsőbbségét vállaló tartós célok megvalósítása, támogatása. - Gyermek- és ifjúságvédelem, hátrányos helyzetű gyermekek kiemelt fejlesztése, óvodás és kisisko"
18004078,Egészség Vár Egyesület,"3900 Szerencs, Zrínyi utca 13.",egyéb felnőtt egészségügy,felnőtt egészségügy,"Borsod-Abaúj-Zemplén megyében, különösen a Szerencsen és környékén élő emberek egészségmegőrzése civil kezdeményezésekkel."
18004298,Széchenyi 200 Alapítvány,"1088 Budapest, Vas utca 9-11.",szakközépiskolák,oktatás,"Diákok támogatása, szociális helyzetük javítása, képzésükhöz segítségnyújtás, ismeretterjesztés."
18004580,Budapest Erzsébetvárosi gr. Brunszvik Teréz Óvodavédő Egylet,"1074 Budapest, Rózsák tere 6-7.",óvodák,oktatás,
18004755,Szabó Imre Alapítvány,"1071 Budapest, Városligeti fasor 5-7.",általános iskolák,oktatás,"Az Alapítvány azt a célt szolgálja, hogy néhai Szabó Imre iskolaalapító lelkipásztor emlékére az állami tulajdonból a Budapest-Fasori Református Egyházközség tulajdonába visszakerült Budapest-Fasori R"
18004810,Alkotó Ifjúság Alapítvány,"1145 Budapest, Laky Adolf utca 38-40.",gimnáziumok,oktatás,"Az Anna Frank Gimnáziumban folyó nevelő-oktató munka, a tudományos, kulturális és sportélet, a kiemelkedő tehetségű tanulók speciális fejlődési lehetőségeinek támogatása. Az alapítvány elsődleges célj"
18005093,Daniló Sportegyesület,"9200 Mosonmagyaróvár, Tímár utca 4-6/B. A. lph. fszt./1/A.",sportklubok,sport és szabadidő,"A sportegyesület célja: - lovaglásnak, mint lehetséges terápiás eljárásnak és sportolási lehetőségnek elterjesztése, népszerűsítése a fogyatékos és ép emberek körében. Lehetőséget biztosítani úgy a te"
18005196,A Leukémiás Betegekért Alapítvány,"1097 Budapest, Albert Flórián út 5-7. 22. I.",leukémiás és daganatos gyerekek,gyermek egészségügy,"A leukémiás betegek gyógyításának elősegítése– különös tekintettel a betegek életminőségének javítására - , valamint a hematológiai betegellátás korszerűsítése."
18005282,Az Értelmi Fogyatékosok Fejlődését Szolgáló Magyar Down Alapítvány,"1145 Budapest, Amerikai út 14.",fogyatékkal élők segítése,szociális segítségnyújtás,"Az értelmi fogyatékos, különösen a Down kórban szenvedő emberek életvitelének elősegítése."
18005347,Magyar Vese Alapítvány,"1089 Budapest, Nagyvárad tér 4.",egyéb felnőtt egészségügy,felnőtt egészségügy,A hazai nephrologia fejlődésének elősegítése a vesebetegek ellátásában és a klinikai és elméleti kutatásban részt vevők támogatása.
18005426,Bliss Alapítvány,"1112 Budapest, Neszmélyi út 36.",fogyatékkal élők segítése,szociális segítségnyújtás,"A Bliss-nyelv magyarországi bevezetése, elterjesztése valamint valamennyi rászoruló, halmozottan sérült, beszédképtelen emberhez való eljuttatása."
18005440,Csillaghegy Az Ovisokért Alapítvány,"1039 Budapest, Hunyadi utca 10.",óvodák,oktatás,Óvodáskorú gyermekek magasszintű testi és szellemi fejlődésének elősegítése
18005488,Budapesti Fesztiválzenekar Alapítvány,"1034 Budapest, Selmeci utca 14-16.",művészeti szervezetek,kultúra és művészet,A magyar zenei kultúra - különös tekintettel a Főváros lehető legmagasabb színvonalú zenei életének elősegítése - érdekében a Főváros Zenekarának működtetése és az ehhez szükséges feltételek megteremt
18005529,Napsugár Alapítvány,"1043 Budapest, Nyár utca 4.",gimnáziumok,oktatás,"A Benkő István Református Általános Iskola és Gimnázium (1043 Budapest, Nyár u. 4.) oktatási-nevelési programját szolgáló új eljárások kidolgozása, gyakorlati megvalósítása, anyagi hátterének megterem"
18005567,Varga József Alapítvány,"1111 Budapest, Műegyetem rakpart 3.",felsőoktatás,oktatás,A vegyészmérnök képzésben és továbbképzésben résztvevők támogatása.
18005598,Magyar Barlangi Mentőszolgálat,"1024 Budapest, Keleti Károly utca 15/ b.",speciális mentőszervezetek,katasztrófavédelem és közbiztonság,"A barlangokban , vagy egyéb nehezen megközelíthető helyen szerencsétlenül járt , megsérült , illetve eltévedt emberek felkutatása , számukra elsősegély nyújtása , és a veszélyes helyekről történő ment"
18005811,Kincskereső Iskola Alapítvány,"1119 Budapest, Fogócska utca 6.",általános iskolák,oktatás,"Az iskola tevékenységét olyan differenciált eljárásrendszerre építeni, amelyben a pedagógiai magatartás a gyermek szükségleteihez igazodik. Egy sajátos pedagógiai étosz kialakítása, amelyben az egyéni"
18005897,Hajrá Tere Alapítvány,"1161 Budapest, Hösök tere 1. (Ált.Iskola)",általános iskolák,oktatás,"A legkiemelkedőbb tanulmányi eredmények elismerése. Az iskolában folyó oktató – nevelő munka tartalmi és tárgyi feltételeinek fejlesztése. Tehetséges tanulók támogatása, nevelők szakmai továbbképzésén"
18005976,Bajzások Baráti Köre Alapítvány,"1046 Budapest, Bajza utca 2.",gimnáziumok,oktatás,"A klasszikus iskola modelljének felélesztése körében támogatást kíván nyújtani a tehetséges diákoknak, a kiemelkedő pedagógiai munkát végző pedagógusoknak, iskolai eszközök vásárlásához, a szabadidő t"
18006070,Gépészmérnök-képzésért Alapítvány,"1111 Budapest, Műegyetem rakpart 3.",felsőoktatás,oktatás,"A BME Gépészmérnöki Karán (BME GPK) folyó képzés korszerűsítése, színvonalának emelése, az ehhez szükséges szakembergárda kinevelésének támogatása, a gépipari és az alumíniumipari feladatok ellátásáho"
18006245,Boldogasszony Iskolanővérek Alapítvány,"1092 Budapest, Knézich utca 5-7.",egyéb oktatási szervezetek,oktatás,"Az alapítvány célja annak elősegítése, hogy a katolikus és óvodai, általános iskolai és gimnáziumi oktatásra a tanulók - szociális és bármely más helyzettől függetlenül megkülönböztetés nélkül - minél"
18006269,A Klebelsberg Kuno Oktatást Segítő Alapítvány,"1028 Budapest, Szabadság. utca 3.",általános iskolák,oktatás,"A szabadság úti Általános Iskola célkitűzéseinek támogatása, az oktató-nevelő munka korszerübbé tétele érdekében."
18006290,A Vizilabdázás Jövőjéért Alapítvány,"1163 Budapest, Szérű utca 49.",sportklubok,sport és szabadidő,A sport támogatása.
18006379,A Hármashatárhegyi Sportrepülésért Alapítvány,"1096 Budapest, Sobieski J. utca 20-24. 4/3.",egyéb szabadidős szervezetek,sport és szabadidő,A Hármashatárhegyi Sportrepülés és sportrepülő kiképzés támogatása. A magyarországi sportrepülők és egyesületeik érdekvédelme.
18006410,Tunyogi Erzsébet Gyógyító Játszóháza Alapítvány a halmozottan sérült gyermekekért,"1064 Budapest, Rózsa utca 46. földszint/1. ajtó",egyéb gyermek egészségügy,gyermek egészségügy,"Az alapítvány tartós közérdekű célja a központi idegrendszeri és/vagy genetikai károsodott, valamint a halmozottan sérült csecsemők és gyermekek 1 hónapos kortól történő fejlesztése, oktatása, nevelés"
18006472,Műveltség Gyarapításáért Alapítvány,"1192 Budapest, Hungária út 11.",általános iskolák,oktatás,"Az alapítvány célját az alapító az alábbiak szerint jelöli meg: - Az iskola egyéni arculatának megfelelően az ének-zene tanítás színvonalának emelése, a kórus munkájának támogatása, a hangszeres oktat"
18006647,Postások Szakmai Egyesülete,"1138 Budapest, Dunavirág utca 2-6.",egyéb jogvédő szervezetek,emberi jogok és civil társadalom,"A Magyar Posta területén dolgozó szakemberek és a vele kapcsolatban levő postai szolgáltatást végzők és azt támogatók összefogása, szakismeretük fejlesztése, információkkal való ellátása, az informáci"
18006788,Városmajori Alapítvány az Ér- és Szívbetegekért,"1122 Budapest, Városmajor utca 68.",egyéb felnőtt egészségügy,felnőtt egészségügy,"A szív- és érbetegségben szenvedő betegek eredméynes kezeléséhez segítségnyújtás, valamint az egészségügyi feltételek és a közreműködő orvosok gyógyító-tudományos tevékenységének támogatása."
18006908,Erkel Ferenc Vegyeskar Alapítvány,"1026 Budapest, Nagyajtai utca 8. 1. ajtó",művészeti szervezetek,kultúra és művészet,A magyar zenekultura és kórusművészet támogatása az Erkel Ferenc Vegyeskar tevékenységén keresztül.
18006960,Magyar Homeopata Orvosi Egyesület,"1115 Budapest, Ballagi Mór utca 8. 1. em./8.ajtó",egyéb felnőtt egészségügy,felnőtt egészségügy,a homeopátia alkalmazásának megismertetése
18007095,Sport Suli Szabadidősport Egyesület,"8888 Lispeszentadorján, Kossuth Lajos utca 44.",sportklubok,sport és szabadidő,"Az egyesület célja elsősorban diákok részére a rendszeres testedzés, felüdülés biztosítása, az ilyen igények felkeltése, tagjainak testi és szellemi nevelése. Az Egyesület célja ezen belül versenyek, "
18007411,Magyar Evangéliumi Rádió Alapítvány,"1088 Budapest, Vas utca 12. II/1.","sajtó, média",emberi jogok és civil társadalom,"A keresztény örömhír és életvitel terjesztése az elektronikus média eszköztárával, az ifjúság nevelése, a határainkon túl élő magyarság segítése."
18007473,Stádium 91. Alapítvány,"1111 Budapest, Egry József utca 3.",gimnáziumok,oktatás,"A Széchenyi István Gimnázium oktatási, nevelési feltételeinek javítása, tanulmányi szociális támogatás nyújtása a tanulók részére, továbbképzés támogatása."
18007545,Budavári Evangélikus Gyülekezet Alapítvány,"1014 Budapest, Táncsics Mihály utca 28.",egyházhoz kötődő szociális szervezetek,szociális segítségnyújtás,"A protestáns kulturális örökség ápolása, a keresztyén szellemiség és értékek terjesztésének támogatása. A gyermek- és ifjúságvédelem támogatása, az ifjúság oktatásának, nevelésének és sokoldalú fejlőd"
18007679,Segély Helyett Esély Alapítvány,"1223 Budapest, Jókai utca 21-23.",mentális egészség és szenvedélybetegségek,szociális segítségnyújtás,"A különféle pszichés zavarokban és szenvedély állapotokban lévő emberek ellátási lehetőségeinek kutatása, szervezése és biztosítása."
18007978,Batthyány Lajos Általános Iskolai Alapítvány a Diákokért,"1015 Budapest, Batthyány utca 8.",általános iskolák,oktatás,Az iskolai oktató-nevelő munka tartalmi és tárgyi feltételeinek javítása.
18007985,EOQ Magyar Nemzeti Bizottság Közhasznú Egyesület,"1026 Budapest, Nagyajtai utca 2/B.",felnőttképzés,oktatás,"A szervezet célja, hogy az önkéntesség elvén alapuló tagsági viszony és szervezet keretében, önkormányzati elven szervezze a tagok közös tevékenységét az Európai Minőségügyi Szervezet (EOQ) és más nem"
18008003,Alapítvány a Vajda Péter utcai Általános Iskoláért,"1089 Budapest, Vajda Péter utca 25-31.",általános iskolák,oktatás,"A Vajda Péter utcai Általános Iskola oktatási és tárgyi feltételeinek bővítése, illetőleg támogatása."
18008182,Jelenben a Jövöért Alapítvány,"1147 Budapest, Telepes utca 32.",általános iskolák,oktatás,"Gyermek- és ifjúsági oktató-nevelőmunka lehetőségeinek kiszélesítése iskolai, kerületi szintű szaktárgyi-, sport-, és képzőművészeti versenyek megrendezésével."
18008199,"KEresztyén GYErmekevangelizáció és LElkigondozó Misszió, KEGYELEM Alapítvány","1157 Budapest, Nyírpalota út 71. XV./78.",vallási szervezetek,kultúra és művészet,"Az Alapítvány célja, hogy különböző programok, események szervezése és megrendezése folyamán a gyermekekkel megossza a Biblia üzenetét, a keresztény értékrendnek megfelelően segítse a családok működés"
18008254,Hársfa Egyesület,"1146 Budapest, Dózsa György út 7. II./6.",fogyatékkal élők segítése,szociális segítségnyújtás,"Elősegíteni a Budapesten és környező településeken élő értelmi fogyatékosok sportolását, biztosítani számukra - sporteseményeken keresztül - mindazokat a jogokat és lehetőségeket, amelyek az épeknek i"
18008481,Alapítvány a Budapesti Állatkertért,"1146 Budapest, Állatkerti körút 6-12.",állatkertek,környezet- és állatvédelem,A Budapest Főváros Állat- és Növénykertje állat- és növénygyűjteményének támogatása.
18008632,Cinkotai FŐNIX - Együtt a Tudásért Alapítvány,"1164 Budapest, Batthyányi Ilona utca 12.",gimnáziumok,oktatás,"A budapesti Szerb Antal Gimnázium oktatási, nevelési céljainak és feltételeinek támogatása."
18008670,XIV.ker. Heltai Gáspár Általános Iskola Alapítvány,"1148 Budapest, Padlizsán utca 11-13.",általános iskolák,oktatás,Az iskolai oktató-nevelő munka személyi és tárgyi feltételeinek javítása.
18008711,Mátyásföldi Lawn Tennis Club,"1165 Budapest, Bökényföldi út 27.",sportklubok,sport és szabadidő,"A sport és a club élet ellátására létrehozott, önkormányzati elv alapján működő érdek-képviseleti, társadalmi szervezet."
18008807,Csonka János Alapítvány,"1114 Budapest, Bartók Béla út 31.",egyéb kulturális szervezetek,kultúra és művészet,Csonka János Emlékmúzeum létesítése.
18009176,Királymajor Alapítvány,"1212 Budapest, Széchenyi utca 93-95.",általános iskolák,oktatás,"A Budapest, XXI. kerület, Széchenyi u.93-95. szám alatti Általános Iskolában a számítástechnika, a nyelvoktatás és a testi nevelés színvonalának az emelése."
18009365,Pannónia Iskoláért Alapítvány,"1133 Budapest, Tutaj utca 7-11.",általános iskolák,oktatás,Az iskolai oktató-nevelő munka tárgyi-személyi feltételeinek javítása.
18009509,Darus Iskolaalapítvány,"1181 Budapest, Darus utca 3.",általános iskolák,oktatás,"Hozzájárulás a Pestlőrinci Darus Általános Iskolában az iskolai képzéshez és a nevelési feltételek javításához. Az arra rászoruló illetve pénzbeli elismerést megérdemlő (magatartásuk, szorgalmuk, tanu"
18009578,Kokas Klára Agape Zene-Életöröm Alapítvány,"1088 Budapest, Bródy Sándor utca 9. 3/29.",művészeti szervezetek,kultúra és művészet,"A ""Humanitásra nevelés a művészetekkel"" című pedagógiai program támogatása."
18009626,"Szülők, Tanítványok a Kolozsvár úti Iskoláért Alapítvány","1155 Budapest, Kolozsvári út 1.",általános iskolák,oktatás,A Kolozsvári úti Általános Iskola anyagi és erkölcsi segítése az oktatás és nevelés minőségének emelése érdekében
